Código;Nome;Valor hora;Data;Entrada;Saída;Almoço
1;Briant Goward;R$ 2,16;11/01/2024;8:13:27;18:02:48;11:29 - 13:00
2;Crosby Durnian;R$ 5,42;24/02/2024;8:03:09;19:08:02;12:08 - 13:00
3;Diane-marie Loos;R$ 3,36;23/06/2024;8:04:22;18:01:27;11:59 - 13:00
4;Cam Paute;R$ 4,30;28/11/2023;8:10:25;19:30:19;12:22 - 13:00
5;Tandie Breslin;R$ 8,08;15/02/2024;8:54:29;19:07:48;12:31 - 13:00
6;Ray Langabeer;R$ 8,42;27/08/2024;8:16:49;19:43:54;11:21 - 13:00
7;Zilvia Hunnisett;R$ 1,12;03/08/2023;8:17:16;19:53:25;12:46 - 13:00
8;Gaylene Bradberry;R$ 5,41;28/07/2024;8:57:15;18:42:56;12:33 - 13:00
5;Tandie Breslin;R$ 8,89;29/02/2024;8:17:25;20:15:45;12:55 - 13:00
5;Tandie Breslin;R$ 7,44;24/08/2023;8:34:29;19:35:02;12:43 - 13:00
5;Tandie Breslin;R$ 3,43;28/06/2024;8:25:58;18:22:51;11:47 - 13:00
12;Brennen Donett;R$ 0,04;23/11/2023;8:23:43;19:47:25;12:04 - 13:00
13;Audie Kelemen;R$ 0,40;15/08/2024;8:38:16;20:40:11;11:42 - 13:00
14;Nelia Castanone;R$ 0,21;06/10/2023;8:42:53;18:49:12;12:35 - 13:00
15;Byron Blayd;R$ 2,06;03/03/2024;8:34:06;18:39:43;12:53 - 13:00
8;Gaylene Bradberry;R$ 9,15;25/12/2023;8:30:08;19:03:02;11:19 - 13:00
8;Gaylene Bradberry;R$ 2,27;31/10/2023;8:55:51;20:16:36;12:13 - 13:00
8;Gaylene Bradberry;R$ 0,40;02/03/2024;8:39:31;19:46:38;11:53 - 13:00
8;Gaylene Bradberry;R$ 8,81;03/01/2024;8:02:11;18:43:01;11:49 - 13:00
20;Serge Hatliffe;R$ 8,13;27/11/2023;8:20:08;20:26:36;11:34 - 13:00
